,sales
0,3.4339872044851463
1,2.1972245773362196
2,4.543294782270004
3,3.367295829986474
4,1.3862943611198906
5,2.70805020110221
6,1.6094379124341003
7,1.6094379124341003
8,2.0794415416798357
9,2.0794415416798357
10,1.0986122886681098
11,0.6931471805599453
12,1.0986122886681098
13,2.0794415416798357
14,3.6635616461296463
15,0.0
16,0.6931471805599453
17,1.9459101490553132
18,3.7376696182833684
19,1.6094379124341003
20,1.0986122886681098
21,1.9459101490553132
22,2.8903717578961645
23,3.784189633918261
24,2.9444389791664403
25,1.0986122886681098
26,3.258096538021482
27,1.6094379124341003
28,2.3978952727983707
29,2.3978952727983707
30,3.6635616461296463
31,1.791759469228055
32,1.791759469228055
33,3.367295829986474
34,3.4339872044851463
35,1.791759469228055
36,2.3978952727983707
37,1.3862943611198906
38,2.3978952727983707
39,2.0794415416798357
40,0.6931471805599453
41,1.791759469228055
42,2.70805020110221
43,4.060443010546419
44,0.0
45,3.6635616461296463
46,3.912023005428146
47,3.4965075614664802
48,1.6094379124341003
49,3.4011973816621555
50,3.258096538021482
51,2.0794415416798357
52,2.0794415416798357
53,3.8918202981106265
54,1.791759469228055
55,2.3978952727983707
56,0.6931471805599453
57,2.302585092994046
58,3.4965075614664802
59,2.0794415416798357
60,2.833213344056216
61,2.302585092994046
62,0.0
63,3.4011973816621555
64,1.3862943611198906
65,2.302585092994046
66,1.6094379124341003
67,2.5649493574615367
68,1.3862943611198906
69,2.3978952727983707
70,4.875197323201151
71,3.1354942159291497
72,0.0
73,2.833213344056216
74,3.258096538021482
75,5.062595033026967
76,2.995732273553991
77,2.302585092994046
78,2.5649493574615367
79,0.6931471805599453
80,3.6109179126442243
81,3.828641396489095
82,2.1972245773362196
83,3.4965075614664802
84,4.574710978503383
85,2.5649493574615367
86,0.6931471805599453
87,5.10594547390058
88,2.8903717578961645
89,3.1780538303479458
90,0.6931471805599453
91,3.8918202981106265
92,3.5553480614894135
93,0.0
94,5.056245805348308
95,4.442651256490317
96,2.5649493574615367
97,4.0943445622221
98,2.4849066497880004
99,0.6931471805599453
100,3.6375861597263857
101,2.6390573296152584
102,2.5649493574615367
103,2.5649493574615367
104,4.3694478524670215
105,3.091042453358316
106,2.4849066497880004
107,1.3862943611198906
108,0.0
109,2.4849066497880004
110,2.3978952727983707
111,4.983606621708336
112,3.1354942159291497
113,2.0794415416798357
114,4.1588830833596715
115,1.0986122886681098
116,3.6109179126442243
117,3.091042453358316
118,3.1354942159291497
119,2.6390573296152584
120,3.7376696182833684
121,3.58351893845611
122,1.0986122886681098
123,3.1354942159291497
124,2.0794415416798357
125,2.8903717578961645
126,2.0794415416798357
127,3.044522437723423
128,1.6094379124341003
129,3.784189633918261
130,0.6931471805599453
131,2.4849066497880004
132,4.060443010546419
133,4.290459441148391
134,2.302585092994046
135,0.6931471805599453
136,3.4339872044851463
137,4.1588830833596715
138,1.6094379124341003
139,2.0794415416798357
140,3.4965075614664802
141,1.0986122886681098
142,3.9889840465642745
143,2.0794415416798357
144,2.4849066497880004
145,3.4657359027997265
146,4.007333185232471
147,1.6094379124341003
148,1.6094379124341003
149,3.5553480614894135
150,2.4849066497880004
151,3.4339872044851463
152,1.0986122886681098
153,2.4849066497880004
154,2.1972245773362196
155,1.3862943611198906
156,2.0794415416798357
157,0.6931471805599453
158,0.6931471805599453
159,2.3978952727983707
160,2.1972245773362196
161,2.772588722239781
162,1.0986122886681098
163,3.044522437723423
164,3.7612001156935624
165,3.713572066704308
166,3.784189633918261
167,2.833213344056216
168,2.0794415416798357
169,4.634728988229636
170,4.330733340286331
171,2.1972245773362196
172,2.302585092994046
173,3.7376696182833684
174,1.791759469228055
175,2.8903717578961645
176,2.70805020110221
177,0.0
178,2.1972245773362196
179,1.6094379124341003
180,1.6094379124341003
181,2.0794415416798357
182,2.1972245773362196
183,1.9459101490553132
184,2.4849066497880004
185,2.0794415416798357
186,1.3862943611198906
