,sales,Predicted_sales
2085,63,61.74107138144047
222,28,29.765657486011957
236,30,28.760365045801354
15,1,0.9239784043338402
2069,31,30.323485784238557
542,1,0.9675131729776343
1576,51,49.766827076043576
2306,3,2.967513172977634
599,23,23.07416397102086
1783,5,5.254138229286529
2188,4,3.967513172977634
1060,29,29.765657486011957
422,5,5.297672997930323
1341,39,41.247448011484316
1745,41,40.89636947036693
732,5,5.297672997930323
1950,30,30.3075492860407
1596,15,15.407517907473133
429,18,17.902143175947916
1933,3,2.967513172977634
883,3,2.967513172977634
1211,11,11.006143007590468
365,10,13.016539886125953
902,85,90.78025798964443
191,5,4.934579959014245
1311,35,35.44022274130813
1032,17,17.902143175947916
935,8,7.9791145171518325
2105,48,47.424058162906874
1722,6,6.0741377154651675
665,43,43.88917675715221
1793,9,9.382215292345638
1016,3,2.967513172977634
1751,1,0.9675131729776343
1403,3,2.967513172977634
1935,17,17.902143175947916
1190,12,12.51409655690993
1704,7,6.982577230974831
1225,20,20.707976517442436
1566,18,17.85860840730412
1426,8,7.9791145171518325
1511,49,48.42935060311748
462,27,25.41606664841357
499,24,23.117698739664654
2286,8,7.9791145171518325
736,16,15.407517907473133
792,2,1.9675131729776345
1979,11,11.006143007590468
1340,25,25.41606664841357
225,8,7.9791145171518325
1293,21,20.707976517442436
1512,31,31.32192744262646
1012,3,2.967513172977634
867,3,2.967513172977634
1750,17,17.902143175947916
950,2,1.9675131729776345
1606,11,11.006143007590468
1696,7,6.982577230974831
1919,16,15.407517907473133
409,21,20.707976517442436
1587,8,7.9791145171518325
890,4,3.967513172977634
2115,13,12.51409655690993
530,22,22.11925708127675
1711,5,4.934579959014245
809,38,37.78723988602662
645,27,25.41606664841357
1678,21,20.707976517442436
600,44,43.569618486879925
2299,42,42.71031548687345
1425,4,3.967513172977634
931,4,3.967513172977634
172,10,9.382215292345638
7,5,4.978114727658039
1386,7,7.406503214885998
1755,1,0.9675131729776343
2197,7,6.982577230974831
323,35,35.759781011580415
1569,25,25.839992632324737
180,5,4.978114727658039
152,3,2.967513172977634
331,7,7.302135501247115
787,22,23.117698739664654
321,3,2.967513172977634
1901,21,20.707976517442436
211,9,9.382215292345638
2048,10,9.382215292345638
1416,12,12.51409655690993
1073,131,124.60361252069201
1431,26,25.735624918685854
84,97,96.48842458082119
1154,1,0.9675131729776343
1786,10,9.382215292345638
1855,10,4.798839791869156
650,17,18.2217014462202
1023,56,55.23385307925444
1075,29,30.940530962184795
1529,12,12.51409655690993
1204,6,6.117672484108962
822,11,11.006143007590468
851,25,25.41606664841357
1605,4,3.967513172977634
1059,19,17.902143175947916
1163,26,25.41606664841357
1693,81,72.61793910272746
734,3,2.967513172977634
872,6,6.117672484108962
1298,2,1.3216431472882284
2179,2,1.9675131729776345
448,35,35.759781011580415
2260,7,6.982577230974831
328,210,207.45098914782787
1222,5,5.297672997930323
995,3,2.967513172977634
489,22,23.117698739664654
2182,12,12.51409655690993
1336,45,46.058419712232634
9,8,7.9791145171518325
1650,7,6.982577230974831
812,30,29.765657486011957
1277,10,9.382215292345638
849,55,55.23385307925444
686,70,68.25994698227558
1615,4,3.967513172977634
1989,35,35.44022274130813
1317,12,12.51409655690993
959,24,23.43725700993694
539,22,23.117698739664654
1216,9,9.382215292345638
374,7,6.939042462331037
827,12,12.51409655690993
1575,14,13.991771503626302
516,16,15.407517907473133
112,23,23.117698739664654
1402,16,15.407517907473133
1047,4,3.967513172977634
781,54,53.62982844574016
1829,23,23.117698739664654
1127,5,4.978114727658039
1673,10,9.382215292345638
1632,206,194.56582569832636
337,11,11.006143007590468
673,4,3.9239784043338397
1727,24,23.117698739664654
255,3,2.967513172977634
2110,29,29.765657486011957
1079,41,39.897927811979024
815,80,79.89798999900216
830,32,31.32192744262646
597,25,25.41606664841357
1795,6,6.117672484108962
1246,14,13.991771503626302
1200,10,9.382215292345638
2052,3,2.967513172977634
145,32,31.32192744262646
1792,18,17.902143175947916
1064,19,17.23559197579214
1620,11,11.006143007590468
76,20,20.707976517442436
2279,1,0.9675131729776343
459,10,9.382215292345638
860,14,13.948236734982508
512,2,1.9675131729776345
1342,25,25.41606664841357
1237,13,12.51409655690993
790,13,12.51409655690993
417,11,11.006143007590468
2163,9,9.382215292345638
1533,32,31.32192744262646
49,30,29.765657486011957
257,16,15.36398313882934
1413,26,25.41606664841357
1469,9,9.382215292345638
638,7,6.982577230974831
366,9,9.338680523701845
502,10,9.382215292345638
1324,2,1.9675131729776345
937,8,7.9791145171518325
1005,7,6.982577230974831
625,23,23.411086329217692
481,10,9.382215292345638
1345,2,1.9675131729776345
2215,27,25.41606664841357
667,27,25.41606664841357
1906,19,16.903701517560012
1445,5,4.978114727658039
2111,4,3.967513172977634
1,9,9.382215292345638
1464,5,4.978114727658039
2269,6,6.117672484108962
1148,27,25.41606664841357
901,10,9.382215292345638
208,8,7.9791145171518325
651,15,15.407517907473133
362,11,11.006143007590468
163,21,20.707976517442436
254,3,2.967513172977634
631,2,2.3914391568888003
1962,1,0.9239784043338402
1185,39,37.78723988602662
1659,10,9.382215292345638
1833,9,14.280714562879796
1974,18,17.902143175947916
1051,2,1.9675131729776345
28,11,11.006143007590468
2036,34,33.25770281287578
2113,7,6.939042462331037
430,19,17.902143175947916
1318,13,12.51409655690993
1116,70,67.95979510530492
915,2,1.9675131729776345
1555,1,0.9675131729776343
2249,10,9.382215292345638
141,3,2.967513172977634
1221,90,87.54542299203538
2097,7,6.982577230974831
642,3,2.967513172977634
367,24,23.117698739664654
400,40,40.89636947036693
2076,3,2.967513172977634
907,5,4.978114727658039
258,7,6.982577230974831
879,9,9.382215292345638
1466,53,52.37396502576432
705,49,48.42935060311748
833,17,17.902143175947916
2116,21,20.707976517442436
1355,22,23.117698739664654
64,4,3.967513172977634
1814,62,62.593605850445975
1656,33,33.25770281287578
1738,12,12.51409655690993
1326,8,7.9791145171518325
1213,6,6.117672484108962
1022,5,4.978114727658039
1579,4,3.967513172977634
1314,1,0.9675131729776343
1534,20,20.707976517442436
2091,13,12.51409655690993
749,30,29.765657486011957
80,37,37.78723988602662
408,30,29.765657486011957
612,4,3.967513172977634
1080,4,3.967513172977634
1359,4,3.967513172977634
1867,1,0.9675131729776343
1628,4,3.967513172977634
50,26,25.839992632324737
1143,3,2.967513172977634
2026,28,30.085215756284242
106,12,12.833654827182214
267,10,9.382215292345638
406,13,12.51409655690993
986,2,1.9675131729776345
2049,62,62.169679866534814
1090,6,6.117672484108962
1041,11,11.006143007590468
1925,160,149.87792262463742
1899,18,17.23559197579214
1858,3,2.967513172977634
2017,72,73.16218587539015
1653,4,3.967513172977634
527,3,2.967513172977634
1353,92,93.16092616746211
1789,86,90.78025798964443
518,3,2.967513172977634
1166,2,1.9675131729776345
2178,11,13.702994168012282
510,22,26.5456492917221
1101,21,20.707976517442436
2002,11,11.006143007590468
1834,28,29.765657486011957
70,131,121.04583807602295
1165,22,23.117698739664654
60,17,17.902143175947916
304,32,31.32192744262646
1547,17,17.902143175947916
404,27,25.372531879769774
1354,35,35.44022274130813
265,15,15.407517907473133
1662,77,80.58267597931439
678,3,2.967513172977634
1671,21,20.707976517442436
1699,6,6.117672484108962
1226,6,6.117672484108962
2248,2,1.9675131729776345
284,11,11.006143007590468
99,2,1.9675131729776345
2096,4,3.967513172977634
656,5,4.978114727658039
326,25,25.735624918685854
519,7,6.939042462331037
1145,16,15.407517907473133
2,94,93.22978566555597
1250,10,9.382215292345638
332,27,25.41606664841357
1667,127,134.7725684603657
785,19,17.902143175947916
802,3,2.967513172977634
1796,24,23.117698739664654
2211,137,124.41390159893884
1627,58,57.47135938473221
1609,6,6.117672484108962
1582,22,22.11925708127675
1658,25,25.41606664841357
483,49,48.40317992239823
649,35,35.44022274130813
2149,50,58.83592355739772
565,5,4.978114727658039
1212,49,48.42935060311748
616,10,9.701773562617921
1040,5,4.978114727658039
1577,17,17.902143175947916
1619,1,0.9675131729776343
675,3,2.967513172977634
503,9,9.382215292345638
313,29,29.765657486011957
1184,17,17.902143175947916
593,3,2.967513172977634
1687,17,17.902143175947916
114,64,64.04180823335918
1258,18,18.326069159859085
793,8,7.9791145171518325
1478,9,9.382215292345638
1129,5,4.978114727658039
633,73,79.4026356520347
1621,4,3.967513172977634
938,27,25.41606664841357
910,64,61.36911516430136
165,41,40.89636947036693
2006,1,0.9239784043338402
2282,10,9.382215292345638
1604,52,52.99188018885054
125,18,17.902143175947916
1517,10,9.382215292345638
381,4,3.967513172977634
1380,4,3.967513172977634
1741,12,12.51409655690993
1876,9,9.382215292345638
1329,21,20.66444174879864
680,12,12.51409655690993
1283,6,6.117672484108962
1918,26,25.735624918685854
349,5,4.978114727658039
984,67,67.55818314673546
2055,5,4.978114727658039
441,16,15.407517907473133
