,Cross Validation MSE
Dataset_1,4979.859240113883
Dataset_2,1604.7253996798697
Dataset_3,7872.775061695124
Dataset_4,2752.5928919160206
Dataset_5,4889.767665704235
Dataset_6,2475.9976237154815
Dataset_7,13327.934490795762
Dataset_8,1479.917374042697
Dataset_9,1755.7134572806358
Dataset_10,5186.958477247407
