,Cross Validation MSE
Dataset_1,19497.175665459235
Dataset_2,2466.6147268253258
Dataset_3,18262.314374524307
Dataset_4,3207.4638615214567
Dataset_5,6151.84473327746
Dataset_6,4191.602405711479
Dataset_7,27932.305432035715
Dataset_8,1963.0404246819487
Dataset_9,1916.1519411919842
Dataset_10,12792.989801154328
