,Cross Validation MSE
Dataset_1,4979.859240114369
Dataset_2,1604.7253996799059
Dataset_3,7872.775061695459
Dataset_4,2752.592891915905
Dataset_5,4889.767665704473
Dataset_6,2475.9976237153805
Dataset_7,13327.934490794272
Dataset_8,1479.9173740427248
Dataset_9,1755.7134572806333
Dataset_10,5186.958477249571
