,Cross Validation MSE
Dataset_1,181.8502420863848
Dataset_2,273.02258316211066
Dataset_3,1407.6248906406067
Dataset_4,446.01165651993466
Dataset_5,843.3488840133111
Dataset_6,213.37474914001672
Dataset_7,534.6239849456648
Dataset_8,423.05454371563985
Dataset_9,633.437306473172
Dataset_10,234.578240515133
