,Cross Validation MSE
Dataset_1,1238.8947854486555
Dataset_2,1239.319239331629
Dataset_3,1580.6820253869594
Dataset_4,2478.60402659586
Dataset_5,3984.8385615064262
Dataset_6,986.4963396794976
Dataset_7,2589.709764363383
Dataset_8,1119.8209122678288
Dataset_9,1868.9591934543478
Dataset_10,1312.0775226474411
