,Cross Validation MSE
Dataset_1,869.6521854660351
Dataset_2,994.4211842662949
Dataset_3,1545.7534103063695
Dataset_4,2523.364475780961
Dataset_5,4013.6928435105788
Dataset_6,762.3861424348092
Dataset_7,2543.088810022685
Dataset_8,1014.6895940465363
Dataset_9,1454.3238513445515
Dataset_10,1082.2301980401935
