,Cross Validation MSE
Dataset_1,359.87138196806325
Dataset_2,364.7408373256032
Dataset_3,683.3198073037295
Dataset_4,1179.4879342430258
Dataset_5,2053.1466248444385
Dataset_6,238.54087750374012
Dataset_7,886.7831068452265
Dataset_8,495.7913101163071
Dataset_9,927.755860602611
Dataset_10,402.51050604014097
