,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,29144.0,31964.0,22448.0,31276.0,31136.0,26548.0,32428.0,30504.0,27556.0,28376.0,29138.0,2894.598141366086
Exponential,30040.0,33312.0,30020.0,34036.0,35544.0,27904.0,35508.0,32320.0,31664.0,30396.0,32074.4,2408.41471511864
Empirical,30412.0,33304.0,30248.0,34100.0,35124.0,28176.0,35636.0,32620.0,31980.0,30460.0,32206.0,2272.367751927491
Max,41384.0,45256.0,46296.0,46600.0,49640.0,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501609
