,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,-25016.0,8704.0,-28436.0,7040.0,-4176.000000000001,548.0000000000001,-33716.0,9112.0,9680.0,-18155.999999999996,-7441.6,16330.439915691188
Exponential,1864.0,8916.0,-8224.0,9396.0,3336.0000000000014,4636.000000000001,1700.0,7904.0,9488.0,488.0,3950.4,5206.503994044372
Empirical,4408.0,11676.0,-4096.0,11412.0,5272.0,7372.000000000001,4372.000000000001,10332.0,11372.0,2652.0,6477.2,4770.635865374761
Max,41384.0,45256.0,46296.0,46600.0,49640.000000000015,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501611
