,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,5423.999999999998,12876.0,-6747.999999999998,10268.0,251.99999999999977,8700.0,-3667.999999999997,13004.0,12156.0,-1235.9999999999982,5102.8,7024.247843007819
Exponential,9364.0,11796.0,143.99999999999977,12032.0,6840.0,9196.0,8012.0,11364.0,11972.0,7008.0,8772.8,3451.4515439159795
Empirical,10884.0,14048.0,3452.0000000000005,13672.0,8140.0,11244.0,10044.0,13524.0,13464.0,8420.000000000002,10689.2,3173.342490182867
Max,41384.0,45256.0,46296.0,46600.0,49640.000000000015,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501611
