,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,30332.0,32048.0,27024.0,29332.0,27800.0,28152.0,33808.0,30536.0,27080.0,27664.0,29377.6,2162.407695139841
Exponential,32292.0,34120.0,33216.0,34852.0,36220.0,30120.0,37088.0,33488.0,31844.0,30796.0,33403.6,2130.9606847616874
Empirical,32552.0,33952.0,33308.0,34488.0,35376.0,30168.0,36504.0,33448.0,32020.0,30820.0,33263.6,1859.5237669898172
Max,41384.0,45256.0,46296.0,46600.0,49640.0,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501609
