,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,2707.999999999996,12560.0,-7095.999999999998,10008.0,1143.9999999999993,7200.000000000001,-12059.999999999996,12248.0,11640.000000000002,-1507.9999999999973,3684.4000000000005,8162.239976869093
Exponential,8576.0,12456.0,480.0000000000002,11756.0,7480.0,8496.0,6116.0,10560.0,11348.0,6012.000000000001,8328.0,3399.2723927334805
Empirical,10176.0,14284.0,3632.0000000000005,13340.0,8896.0,10812.0,8284.0,12812.0,13096.0,7688.000000000001,10302.0,3111.90192647519
Max,41384.0,45256.0,46296.0,46600.0,49640.000000000015,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501611
