,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,12572.0,17164.0,14692.0,12708.000000000002,12908.0,14364.000000000002,9916.0,16348.0,15156.0,12572.000000000002,13840.0,2020.7634200964742
Exponential,13668.0,16400.0,13264.0,13628.0,13428.0,14892.0,10916.0,15116.0,15444.0,14116.0,14087.2,1430.1124990713145
Empirical,14028.0,17624.0,15040.0,13872.0,14076.0,15424.0,11556.0,16624.0,16204.0,14352.0,14880.0,1623.6295143905213
Max,41384.0,45256.0,46296.0,46600.0,49640.000000000015,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501611
