,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,11384.0,14876.0,11272.0,11248.000000000002,11588.0,13544.0,15292.0,12688.0,13492.0,11556.0,12694.0,1456.6210214053617
Exponential,10248.0,12272.0,8680.0,10256.0,9756.0,12852.0,13916.0,9168.0,10148.0,11308.0,10860.4,1599.4383514221483
Empirical,11928.0,14956.0,11596.0,11880.0,12072.0,14328.000000000002,15812.0,12720.0,13564.0,12472.0,13132.8,1386.786558919577
Max,41384.0,45256.0,46296.0,46600.0,49640.000000000015,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501611
