,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,12240.0,16968.0,13532.000000000002,9196.0,6588.0,14744.0,5500.000000000001,16160.0,13608.0,11572.000000000002,12010.8,3661.8386856878337
Exponential,13596.0,16912.0,13080.0,13592.0,13496.0,14680.0,10480.0,15188.0,15664.0,13840.0,14052.8,1641.3592416043477
Empirical,13876.0,17764.0,14656.0,13788.0,13984.0,15480.0,11164.0,16580.0,16092.0,14060.0,14744.4,1743.1882973448394
Max,41384.0,45256.0,46296.0,46600.0,49640.000000000015,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501611
