,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,11516.0,16700.0,10736.0,9228.0,11748.0,15676.0,16824.0,14656.0,13768.0,11228.0,13208.0,2542.378728671242
Exponential,10328.0,15492.0,8332.0,7584.0,10080.0,13392.0,14164.0,12864.0,11248.0,10816.0,11430.0,2402.4309355317587
Empirical,12116.0,17040.0,10948.0,9640.0,12096.0,16192.0,17212.0,14856.0,13888.0,12236.0,13622.4,2495.8674323769683
Max,41384.0,45256.0,46296.0,46600.0,49640.000000000015,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501611
