,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,3608.0,10356.0,-5312.0,10588.0,4528.000000000001,5672.000000000001,-1475.9999999999977,9804.0,10160.0,1308.000000000001,4923.6,5235.235834229437
Exponential,2360.0,9396.0,-8600.0,9512.0,4052.000000000001,4292.0,-3740.0,8052.0,8944.0,672.0,3494.0,5747.357584142473
Empirical,4792.0,11592.0,-4816.0,11556.0,5852.000000000001,7032.000000000001,-535.9999999999991,10356.0,11019.999999999998,2788.0,5963.6,5280.81219510787
Max,41384.0,45256.0,46296.0,46600.0,49640.000000000015,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501611
