,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,40052.0,44016.0,44696.0,44176.0,46248.0,37768.0,47236.0,44892.0,42952.0,40360.0,43239.6,2825.3647976854245
Exponential,38720.0,42712.0,43264.0,43432.0,45272.0,36756.0,46248.0,43316.0,41856.0,39148.0,42072.4,2846.028221926128
Empirical,40396.0,44172.0,45132.0,44520.0,46632.0,38032.0,47448.0,45296.0,43176.0,40744.0,43554.8,2828.0996022064
Max,41384.0,45256.0,46296.0,46600.0,49640.0,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501609
