,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,12044.0,16616.0,10860.000000000002,11028.0,11128.0,12772.0,12788.000000000002,15263.999999999998,15212.0,11212.0,12892.4,1978.860641884617
Exponential,11584.0,15200.0,10052.0,11632.0,11984.0,12400.0,12268.0,13380.0,14940.0,11596.0,12503.6,1508.3219285020025
Empirical,13148.0,17444.0,11924.0,12492.0,12792.0,14368.0,14052.0,15688.0,16560.0,12832.0,14130.0,1771.0573113256387
Max,41384.0,45256.0,46296.0,46600.0,49640.000000000015,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501611
