,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,4960.0,9712.0,-5748.0,8100.0,4324.000000000001,6112.000000000002,-635.9999999999977,9752.0,10668.0,572.0000000000009,4781.6,5046.0874982505
Exponential,3972.0,8800.0,-9064.0,6871.999999999999,3500.000000000001,5020.000000000001,-2572.0000000000005,7716.0,9552.0,308.0,3410.4,5488.413162290171
Empirical,6148.0,11076.0,-5220.0,8980.0,5580.0,7684.000000000001,660.0000000000009,10348.0,11396.0,2488.0,5914.0,5023.608663102651
Max,41384.0,45256.0,46296.0,46600.0,49640.000000000015,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501611
