,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,30220.0,32016.0,27000.0,29288.0,27588.0,28064.0,33792.0,30544.0,27004.0,27792.0,29330.8,2173.330016357387
Exponential,32224.0,34096.0,33272.0,34868.0,36076.0,30064.0,37160.0,33544.0,31748.0,30908.0,33396.0,2131.3379835211495
Empirical,32532.0,33932.0,33256.0,34520.0,35232.0,30124.0,36512.0,33464.0,31952.0,30892.0,33241.6,1849.9861188668415
Max,41384.0,45256.0,46296.0,46600.0,49640.0,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501609
