,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,9028.0,12864.0,14708.0,9840.0,10980.0,11344.0,8248.000000000002,14184.0,10400.000000000002,8036.000000000002,10963.2,2223.0608088849026
Exponential,10812.0,11960.0,11984.0,10316.0,12464.0,11048.0,10564.0,14156.0,12800.000000000002,10792.000000000002,11689.6,1149.6464847943478
Empirical,11428.0,13596.0,14904.0,11188.0,12900.0,12748.0,11164.0,15200.0,13584.0,11612.000000000004,12832.4,1414.4278843405198
Max,41384.0,45256.0,46296.0,46600.0,49640.000000000015,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501611
