,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,30208.0,32076.0,27168.0,29008.0,27548.0,28104.0,33916.0,30476.0,26704.0,27628.0,29283.6,2233.4679402221113
Exponential,32160.0,34156.0,33388.0,34700.0,36024.0,30068.0,37248.0,33464.0,31592.0,30812.0,33361.2,2157.536409889761
Empirical,32488.0,33980.0,33404.0,34364.0,35248.0,30172.0,36564.0,33444.0,31844.0,30684.0,33219.2,1881.9214011217366
Max,41384.0,45256.0,46296.0,46600.0,49640.0,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501609
