,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,25424.0,30632.0,28396.0,26848.0,28084.0,25928.0,29088.0,29164.0,26572.0,25248.0,27538.4,1713.7077463791777
Exponential,27568.0,32272.0,30688.0,28708.0,30500.0,27908.0,30312.0,30220.0,28568.0,27836.0,29458.0,1476.0523025963544
Empirical,27652.0,32240.0,30712.0,28316.0,29928.0,27892.0,29980.0,30244.0,28420.0,27772.0,29315.6,1454.6009212151628
Max,41384.0,45256.0,46296.0,46600.0,49640.000000000015,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501611
