,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,-13628.000000000004,7156.0,-28420.0,7264.000000000001,-3380.0000000000005,468.00000000000017,-55784.0,8788.0,7776.000000000001,-17548.0,-8730.8,19759.174156831556
Exponential,4272.0,8392.0,-8416.0,9592.0,3800.000000000001,4832.0,-2740.0,7388.0,8632.0,352.0,3610.4,5437.600411946431
Empirical,6328.0,11020.0,-4560.0,11416.0,5656.0,7396.000000000001,360.0000000000009,10036.0,10652.0,2660.0,6096.4,4990.235088650634
Max,41384.0,45256.0,46296.0,46600.0,49640.000000000015,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501611
