,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,28952.0,31472.0,30260.0,31340.0,30972.0,27156.0,29840.0,31884.0,29688.0,27616.0,29918.0,1531.340066738933
Exponential,32164.0,33480.0,32908.0,33820.0,33620.0,30040.0,32052.0,33684.0,31800.0,30376.0,32394.4,1295.3988729345103
Empirical,31376.0,32756.0,31968.0,32704.0,32576.0,29464.0,31108.0,32972.0,31380.0,29600.0,31590.4,1201.1557101391975
Max,41384.0,45256.0,46296.0,46600.0,49640.0,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501609
