,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,26768.0,31880.0,14600.0,24884.0,23448.0,24132.0,31992.0,28400.0,24888.0,16180.0,24717.2,5470.366144966898
Exponential,28980.0,32756.0,26760.0,29972.0,32356.0,26968.0,35396.0,30596.0,29452.0,23316.0,29655.2,3273.1850176853736
Empirical,29316.0,32688.0,27292.0,30500.0,32144.0,27096.0,35464.0,30760.0,29456.0,23600.0,29831.6,3157.7153513260187
Max,41384.0,45256.0,46296.0,46600.0,49640.0,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501609
