,Dataset_1,Dataset_2,Dataset_3,Dataset_4,Dataset_5,Dataset_6,Dataset_7,Dataset_8,Dataset_9,Dataset_10,mean_profit,std_profit
Normal,10876.0,14548.0,12080.0,7372.0,3823.9999999999995,12936.0,5116.000000000001,14452.0,12904.0,9304.000000000002,10341.2,3617.6615872687703
Exponential,13736.0,16820.0,13308.0,13252.0,13696.0,15332.0,11520.0,16096.0,16124.0,12684.0,14256.8,1644.8249025352213
Empirical,14356.0,17088.0,14236.0,13408.0,13848.0,15636.0,12044.0,16460.0,16228.0,13340.000000000002,14664.4,1537.2405927505297
Max,41384.0,45256.0,46296.0,46600.0,49640.000000000015,39048.0,48968.0,46120.0,44704.0,41648.0,44966.4,3203.875253501611
